City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Bitung,ID,1.4451,125.1824,76.05,85,100,7.58,overcast clouds
199,Bredasdorp,ZA,-34.5322,20.0403,67.32,88,100,6.91,overcast clouds
200,Chum Phae,TH,16.5443,102.0992,66.63,65,77,2.55,broken clouds
201,Novikovo,RU,51.1537,37.8879,7.34,83,87,8.48,overcast clouds
202,Alofi,NU,-19.0595,-169.9187,82.29,69,75,17.27,broken clouds
203,Seminole,US,28.7086,-81.2081,73.76,91,90,3.0,overcast clouds
204,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,12.66,broken clouds
205,La Rioja,ES,42.25,-2.5,44.04,87,33,6.04,scattered clouds
206,Yaan,NG,7.3833,8.5667,82.63,21,9,6.24,clear sky
207,Mehran,IR,33.1222,46.1646,49.48,49,0,2.8,clear sky
208,Norman Wells,CA,65.282,-126.8329,-3.96,77,75,5.75,broken clouds
209,Palmer,US,42.1584,-72.3287,39.67,66,75,3.44,broken clouds
210,Tura,IN,25.5198,90.2201,57.81,62,91,2.86,overcast clouds
211,Mayna,RU,54.1135,47.6231,4.32,96,84,6.91,broken clouds
212,Hami,CN,42.8,93.45,24.87,48,14,6.53,few clouds
213,Lewiston,US,44.1003,-70.2148,37.74,62,1,0.0,clear sky
214,Makushino,RU,55.2103,67.2442,27.54,89,99,15.68,overcast clouds
215,Kavieng,PG,-2.5744,150.7967,82.54,76,100,7.54,overcast clouds
216,Korla,CN,41.7597,86.1469,24.33,60,0,2.28,clear sky
217,Pasni,PK,25.2631,63.471,71.69,80,8,10.16,clear sky
218,Gorgan,IR,36.8387,54.4348,48.16,76,0,6.91,clear sky
219,Mopipi,BW,-21.1833,24.8833,74.61,69,86,11.9,overcast clouds
220,Kajaani,FI,64.2273,27.7285,-5.75,84,75,2.3,broken clouds
221,Bulawayo,ZW,-20.15,28.5833,65.44,87,100,8.3,overcast clouds
222,Victoria,HK,22.2855,114.1577,63.32,84,82,3.0,broken clouds
223,Mount Gambier,AU,-37.8333,140.7667,57.7,68,100,6.2,overcast clouds
224,Tessalit,ML,20.1986,1.0114,69.42,18,99,10.85,overcast clouds
225,Dingle,PH,10.9995,122.6711,74.21,93,100,5.99,overcast clouds
226,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,90,17.27,light snow
227,Arlit,NE,18.7369,7.3853,63.7,19,12,6.71,few clouds
228,Yambio,SS,4.5721,28.3955,75.34,43,100,4.16,overcast clouds
229,Izhma,RU,65.0083,53.9113,-0.99,97,97,5.64,overcast clouds
230,Khani,GE,41.9563,42.9566,26.17,98,100,1.68,snow
231,Longyearbyen,SJ,78.2186,15.6401,17.44,79,75,6.91,broken clouds
232,Cravo Norte,CO,6.3017,-70.2041,88.03,50,95,7.87,overcast clouds
233,Aden,YE,12.7794,45.0367,77.43,69,13,8.39,few clouds
234,Kangaatsiaq,GL,68.3065,-53.4641,33.33,60,70,17.25,broken clouds
235,Skjervoy,NO,70.0311,20.9714,25.39,56,100,10.49,overcast clouds
236,Oranjestad,AW,12.524,-70.027,82.9,75,34,4.0,scattered clouds
237,Gurupi,BR,-11.7292,-49.0686,78.94,86,85,4.7,overcast clouds
238,Podyuga,RU,61.095,40.8647,-7.62,99,100,4.45,overcast clouds
239,Jalu,LY,29.0331,21.5482,54.75,44,0,6.53,clear sky
240,Chokurdakh,RU,70.6333,147.9167,-9.2,97,100,9.28,overcast clouds
241,Nsukka,NG,6.8561,7.3927,77.72,26,23,4.34,few clouds
242,Dauphin,CA,51.1494,-100.0502,12.34,67,90,13.8,overcast clouds
243,Dangriga,BZ,16.9692,-88.2321,80.56,79,16,6.24,few clouds
244,Inirida,CO,3.8653,-67.9239,80.98,93,99,1.68,light rain
245,Beringovskiy,RU,63.05,179.3167,1.67,78,100,6.29,overcast clouds
