City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
436,Carmelo,UY,83.19,clear sky,-33.9892,-58.2856,Los Muelles Boutique Hotel
439,Camapua,BR,85.87,broken clouds,-19.5314,-54.0439,Comercial Estrela
440,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
451,Tiarei,PF,86.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
458,Tecoanapa,MX,84.72,scattered clouds,16.5167,-98.75,Hotel Manglares
459,Valdivia,CL,80.69,clear sky,-39.8142,-73.2459,Hostal Entre Rios
462,Uturoa,PF,78.91,moderate rain,-16.7333,-151.4333,Villa Tonoï
465,Grand Baie,MU,79.27,moderate rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
470,Tabou,CI,80.89,broken clouds,4.423,-7.3528,hotêl doufoulougou
479,Nisia Floresta,BR,83.21,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
481,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
485,Vikindu,TZ,75.87,scattered clouds,-7.0067,39.2985,RUTA GUEST HOUSE
486,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
488,Miandrivazo,MG,79.11,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
489,Bowen,AU,77.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
500,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Poutur Pousada
501,Salina Cruz,MX,86.27,scattered clouds,16.1667,-95.2,Amerik HOTEL
505,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
508,Porto Walter,BR,89.62,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
513,Xuddur,SO,76.96,broken clouds,4.1213,43.8894,Banjanay Hotel
514,Jaciara,BR,79.54,moderate rain,-15.9653,-54.9683,Taba Hotel
515,Moerai,PF,78.1,overcast clouds,-22.4333,-151.3333,Le Manotel
521,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
523,Pedernales,DO,81.99,scattered clouds,18.0384,-71.744,Hotel Costa Marina
525,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
527,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
529,Sakete,BJ,81.54,few clouds,6.7362,2.6587,IBUKUN OLUWA
530,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
532,Maracaibo,VE,86.27,overcast clouds,10.6317,-71.6406,Motel Aladdin
538,Parrita,CR,86.61,overcast clouds,9.5201,-84.3225,Beso del Viento
543,Bras-Panon,RE,76.66,light rain,-20.9967,55.6782,le meublé
546,Coahuayana,MX,87.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
549,Coihaique,CL,76.95,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
558,Sabang,ID,80.24,few clouds,5.8933,95.3214,Hotel Citra
559,Sokone,SN,82.29,overcast clouds,13.8833,-16.3667,Hôtel le Caïman
561,Mackay,AU,81.05,clear sky,-21.15,149.2,International Lodge Motel
569,Port Blair,IN,76.03,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
573,Mogadishu,SO,78.84,overcast clouds,2.0371,45.3438,Hotel Juba
574,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
576,Waingapu,ID,79.93,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
583,Iralaya,HN,78.78,overcast clouds,15.0,-83.2333,Iglesia morava renovada
588,Pizarro,CO,76.23,light rain,4.9533,-77.366,Hotel Limonar
589,Imbituba,BR,76.89,light rain,-28.24,-48.6703,Praia Hotel Imbituba
592,Inongo,CD,76.77,overcast clouds,-1.95,18.2667,Hotel Du Lac
595,Aquin,HT,78.58,overcast clouds,18.2833,-73.4,Asheev Beach
598,Maracacume,BR,82.09,overcast clouds,-2.0428,-45.9592,Hotel Ramos
600,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
603,Eyl,SO,75.51,broken clouds,7.9803,49.8164,Amiin Hotel
604,Manacapuru,BR,79.38,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
608,Beitbridge,ZW,75.51,broken clouds,-22.2167,30.0,Beitbridge Express Hotel
612,Pomerode,BR,78.15,light rain,-26.7406,-49.1769,Hotel Bergblick
618,Meulaboh,ID,75.0,scattered clouds,4.1363,96.1285,Kost Pria
621,Townsville,AU,81.48,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
629,San Luis,AR,81.97,broken clouds,-33.295,-66.3356,Huarpes Hotel
632,Etchoropo,MX,80.42,broken clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
633,Dubti,ET,80.4,few clouds,11.7361,41.0853,degu Shiferaw
638,Mbaiki,CF,77.34,broken clouds,3.8678,17.9892,Motel MBM
639,Petatlan,MX,89.4,broken clouds,17.5167,-101.2667,Hotel California Petatlán
644,Mumford,GH,80.28,clear sky,5.2618,-0.759,Spanish Villa
646,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
653,Buala,SB,83.95,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
655,Malindi,KE,79.65,overcast clouds,-3.2175,40.1191,African House Resort
658,Almirante Tamandare,BR,80.28,broken clouds,-25.3247,-49.31,Sitio Primavera Pousada
660,Nicoya,CR,85.55,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
663,Honiara,SB,79.99,overcast clouds,-9.4333,159.95,Heritage Park Hotel
664,San Fernando,PH,80.62,overcast clouds,15.0286,120.6898,Maharlika Hostel
666,Chake Chake,TZ,78.28,light rain,-5.2459,39.7666,Hotel Archipelago
667,Porto Nacional,BR,84.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
670,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
671,Liuli,TZ,76.87,light rain,-11.0833,34.6333,"Puulu Beach,Puulu Village"
